STATE,STATE CODE,CASES,,
Alabama,US-AL,39,,
Alaska,US-AK,5,,
American Samoa,,0,,
Arizona,US-AZ,18,,
Arkansas,US-AR,24,,
California,US-CA,596,,
Colorado,US-CO,183,,
Connecticut,US-CT,68,,
Delaware,US-DE,16,,
Washington D.C.,US-DC,31,,
Florida,US-FL,195,,
Georgia,US-GA,178,,
Guam,,5,,
Hawaii,US-HI,13,,
Idaho,US-ID,5,,
Illinois,US-IL,160,,
Indiana,US-IN,30,,
Iowa,US-IA,29,,
Kansas,US-KS,16,,
Kentucky,US-KY,26,,
Louisiana,US-LA,190,,
Maine,US-ME,32,,
Marshall Islands,,0,,
Maryland,US-MD,85,,
Massachusetts,US-MA,218,,
Michigan,US-MI,65,,
Micronesia,,0,,
Minnesota,US-MN,77,,
Mississippi,US-MS,34,,
Missouri,US-MO,13,,
Montana,US-MT,11,,
Nebraska,US-NE,21,,
Nevada,US-NV,55,,
New Hampshire,US-NH,26,,
New Jersey,US-NJ,267,,
New Mexico,US-NM,23,,
New York,US-NY,2601,,
North Carolina,US-NC,62,,
North Dakota,US-ND,5,,
Northern Marianas,,0,,
Ohio,US-OH,67,,
Oklahoma,US-OK,19,,
Oregon,US-OR,65,,
Palau,,0,,
Pennsylvania,US-PA,96,,
Puerto Rico,,5,,
Rhode Island,US-RI,23,,
South Carolina,US-SC,47,,
South Dakota,US-SD,11,,
Tennessee,US-TN,73,,
Texas,US-TX,64,,
Utah,US-UT,41,,
Vermont,US-VT,10,,
Virgin Islands,,5,,
Virginia,US-VA,68,,
Washington,US-WA,930,,
West Virginia,US-WV,5,,
Wisconsin,US-WI,88,,
Wyoming,US-WY,11,,
